name	x	y	z	size
LO7	-49.0	-62.333	-10.667	n/a
LO6	-43.667	-63.333	-11.0	n/a
LO5	-38.0	-63.667	-10.667	n/a
LO4	-32.667	-65.0	-10.667	n/a
LO3	-27.333	-65.667	-11.0	n/a
LO2	-22.0	-66.5	-11.0	n/a
LO1	-18.8	-67.0	-11.2	n/a
RMH7	63.0	-19.5	-19.0	n/a
RMH6	57.0	-19.333	-18.667	n/a
RMH5	51.75	-18.75	-18.75	n/a
RMH4	46.0	-18.5	-18.5	n/a
RMH3	41.0	-18.333	-18.333	n/a
RMH2	35.25	-17.75	-18.25	n/a
RMH1	32.3333	-17.667	-18.0	n/a
RPO7	35.0	-67.5	24.0	n/a
RPO6	30.0	-67.0	23.75	n/a
RPO5	24.75	-66.5	23.75	n/a
RPO4	19.0	-65.5	23.5	n/a
RPO3	14.0	-65.333	23.667	n/a
RPO2	8.0	-65.0	23.75	n/a
RPO1	5.0	-64.5	24.0	n/a
RTOP8	42.0	-54.0	17.5	n/a
RTOP7	36.0	-53.5	17.5	n/a
RTOP6	31.0	-52.667	17.333	n/a
RTOP5	25.333	-52.333	17.0	n/a
RTOP4	20.0	-51.5	16.5	n/a
RTOP3	14.75	-50.75	16.25	n/a
RTOP2	9.0	-50.333	16.333	n/a
RTOP1	6.0	-49.667	15.667	n/a
RIOp7	40.0	-83.8	-10.4	n/a
RIOp6	34.5	-83.333	-10.333	n/a
RIOp5	29.0	-82.5	-10.5	n/a
RIOp4	24.0	-82.5	-11.0	n/a
RIOp3	18.0	-82.0	-11.25	n/a
RIOp2	13.0	-81.5	-11.5	n/a
RIOp1	10.0	-81.5	-11.5	n/a
RTp8	56.0	-52.0	-11.25	n/a
RTp7	50.5	-51.5	-11.0	n/a
RTp6	45.0	-51.333	-10.667	n/a
RTp5	39.6667	-51.333	-11.0	n/a
RTp4	34.0	-51.2	-10.6	n/a
RTp3	28.75	-50.75	-10.75	n/a
RTp2	23.0	-50.5	-10.5	n/a
RTp1	20.0	-50.8	-10.4	n/a
RIO8	50.6667	-60.333	-10.5	n/a
RIO7	45.0	-60.333	-10.333	n/a
RIO6	39.5	-60.0	-10.5	n/a
RIO5	34.0	-59.5	-10.5	n/a
RIO4	28.75	-59.25	-10.25	n/a
RIO3	23.0	-59.0	-10.25	n/a
RIO2	17.5	-58.5	-10.0	n/a
RIO1	14.6	-58.4	-10.2	n/a
RSO6	49.0	-73.333	-3.333	n/a
RSO5	43.3333	-73.0	-3.333	n/a
RSO4	38.0	-72.5	-3.5	n/a
RSO3	32.75	-71.75	-3.75	n/a
RSO2	27.0	-71.333	-3.667	n/a
RSO1	24.0	-71.333	-4.333	n/a
RMO8	48.0	-67.75	-12.0	n/a
RMO7	43.0	-67.667	-11.667	n/a
RMO6	37.2	-67.0	-11.8	n/a
RMO5	32.0	-66.667	-11.667	n/a
RMO4	26.0	-66.5	-11.5	n/a
RMO3	20.75	-66.25	-11.5	n/a
RMO2	15.0	-66.333	-11.333	n/a
RMO1	12.0	-65.8	-11.4	n/a
