name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
REC1	SEEG	µV	0.0	500.0	1000.0	R	1
REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2	SEEG	µV	0.0	500.0	1000.0	R	1
RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG1	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG2	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG3	SEEG	µV	0.0	500.0	1000.0	R	1
LH1	SEEG	µV	0.0	500.0	1000.0	L	1
LH2	SEEG	µV	0.0	500.0	1000.0	L	1
LH3	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	1
REC1-REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC2-REC3	SEEG	µV	0.0	500.0	1000.0	R	1
REC3-REC4	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2-RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH3-RAH4	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG1-RPHG2	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG2-RPHG3	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG3-RPHG4	SEEG	µV	0.0	500.0	1000.0	R	1
LH1-LH2	SEEG	µV	0.0	500.0	1000.0	L	1
LH2-LH3	SEEG	µV	0.0	500.0	1000.0	L	1
LH3-LH4	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG1-LPHG2	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG2-LPHG3	SEEG	µV	0.0	500.0	1000.0	L	1
