name	x	y	z	size
LOF7	-43.6	49.6	-10.3	n/a
LOF6	-38.375	49.125	-10.0	n/a
LOF5	-32.545	49.0909	-9.545	n/a
LOF4	-27.4	48.5	-9.5	n/a
LOF3	-21.667	48.1111	-9.444	n/a
LOF2	-17.0	47.67	-9.09	n/a
LOF1	-13.0	47.67	-9.09	n/a
LMH6	-59.0	-8.8	-20.6	n/a
LMH5	-53.833	-8.833	-20.667	n/a
LMH4	-48.286	-8.286	-20.286	n/a
LMH3	-42.714	-8.571	-20.143	n/a
LMH2	-37.5	-8.5	-20.0	n/a
LMH1	-34.4	-8.5	-19.8	n/a
ROF7	37.5	56.2	-19.6	n/a
ROF6	32.2857	55.7143	-19.286	n/a
ROF5	26.571	55.0	-18.857	n/a
ROF4	21.375	54.25	-18.625	n/a
ROF3	16.0	54.0	-18.5	n/a
ROF2	10.5	53.8	-18.4	n/a
ROF1	7.4	53.5	-18.2	n/a
RAC8	44.4	40.5	3.5	n/a
RAC7	39.0	40.0	3.5	n/a
RAC6	33.375	39.875	3.75	n/a
RAC5	27.857	39.8571	3.857	n/a
RAC4	22.625	39.75	4.125	n/a
RAC3	17.286	39.0	4.286	n/a
RAC2	11.625	38.75	4.125	n/a
RAC1	8.636	38.8182	4.364	n/a
RAF7	40.8824	48.1765	18.706	n/a
RAF6	36.6667	46.4444	18.556	n/a
RAF5	31.5	46.0	19.0	n/a
RAF4	26.0	46.0	19.5	n/a
RAF3	20.429	45.8571	19.857	n/a
RAF2	15.0	45.11	20.42	n/a
RAF1	11.0	45.11	20.42	n/a
RPSMA8	46.5	28.0	24.0	n/a
RPSMA7	41.2	27.8	24.2	n/a
RPSMA6	35.5714	28.0	24.143	n/a
RPSMA5	30.3333	27.5	24.0	n/a
RPSMA4	24.714	27.429	23.857	n/a
RPSMA3	19.25	27.5	23.75	n/a
RPSMA2	13.778	27.333	23.667	n/a
RPSMA1	10.7	27.4	23.5	n/a
RPHG7	52.3333	-22.833	-17.167	n/a
RPHG6	46.5714	-23.0	-16.857	n/a
RPHG5	41.3333	-22.889	-16.444	n/a
RPHG4	35.5	-23.0	-16.0	n/a
RPHG3	30.4	-23.0	-15.5	n/a
RPHG2	24.5	-23.0	-15.0	n/a
RPHG1	21.7	-23.3	-14.6	n/a
RMH7	56.5	-6.0	-22.0	n/a
RMH6	51.0	-5.8	-21.6	n/a
RMH5	45.5556	-6.111	-21.444	n/a
RMH4	40.1667	-6.167	-21.333	n/a
RMH3	34.6667	-6.167	-20.833	n/a
RMH2	29.4	-6.0	-20.5	n/a
RMH1	26.375	-6.125	-20.25	n/a
RLI2	39.0	0.0	-16.5	n/a
RLI1	36.1429	-0.429	-16.429	n/a
RBAA6	45.6667	9.167	-35.167	n/a
RBAA5	40.4	8.8	-35.0	n/a
RBAA4	34.6667	8.5	-35.0	n/a
RBAA3	29.5	8.0	-35.0	n/a
RBAA2	23.571	8.0	-34.857	n/a
RBAA1	20.625	8.125	-34.75	n/a
