name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	0
LA2	SEEG	µV	0.0	500.0	1000.0	L	0
LA3	SEEG	µV	0.0	500.0	1000.0	L	0
LA4	SEEG	µV	0.0	500.0	1000.0	L	0
LA5	SEEG	µV	0.0	500.0	1000.0	L	0
LA6	SEEG	µV	0.0	500.0	1000.0	L	0
LA7	SEEG	µV	0.0	500.0	1000.0	L	0
LEC1	SEEG	µV	0.0	500.0	1000.0	L	0
LEC2	SEEG	µV	0.0	500.0	1000.0	L	0
LEC3	SEEG	µV	0.0	500.0	1000.0	L	0
LEC4	SEEG	µV	0.0	500.0	1000.0	L	0
LEC5	SEEG	µV	0.0	500.0	1000.0	L	0
LEC6	SEEG	µV	0.0	500.0	1000.0	L	0
LEC7	SEEG	µV	0.0	500.0	1000.0	L	0
LEC8	SEEG	µV	0.0	500.0	1000.0	L	0
LMH1	SEEG	µV	0.0	500.0	1000.0	L	0
LMH2	SEEG	µV	0.0	500.0	1000.0	L	0
LMH3	SEEG	µV	0.0	500.0	1000.0	L	0
LMH4	SEEG	µV	0.0	500.0	1000.0	L	0
LMH5	SEEG	µV	0.0	500.0	1000.0	L	0
LMH6	SEEG	µV	0.0	500.0	1000.0	L	0
LMH7	SEEG	µV	0.0	500.0	1000.0	L	0
LMH8	SEEG	µV	0.0	500.0	1000.0	L	0
LOF1	SEEG	µV	0.0	500.0	1000.0	L	0
LOF2	SEEG	µV	0.0	500.0	1000.0	L	0
LOF3	SEEG	µV	0.0	500.0	1000.0	L	0
LOF4	SEEG	µV	0.0	500.0	1000.0	L	0
LOF5	SEEG	µV	0.0	500.0	1000.0	L	0
LOF6	SEEG	µV	0.0	500.0	1000.0	L	0
LOF7	SEEG	µV	0.0	500.0	1000.0	L	0
LOF8	SEEG	µV	0.0	500.0	1000.0	L	0
RAI1	SEEG	µV	0.0	500.0	1000.0	R	1
RAI2	SEEG	µV	0.0	500.0	1000.0	R	1
RAI3	SEEG	µV	0.0	500.0	1000.0	R	1
RAI4	SEEG	µV	0.0	500.0	1000.0	R	1
RAI5	SEEG	µV	0.0	500.0	1000.0	R	1
RAI6	SEEG	µV	0.0	500.0	1000.0	R	1
RAI7	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP1	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP2	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP3	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP4	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP5	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP6	SEEG	µV	0.0	500.0	1000.0	R	1
RFOP7	SEEG	µV	0.0	500.0	1000.0	R	1
ROF1	SEEG	µV	0.0	500.0	1000.0	R	1
ROF2	SEEG	µV	0.0	500.0	1000.0	R	1
ROF3	SEEG	µV	0.0	500.0	1000.0	R	1
ROF4	SEEG	µV	0.0	500.0	1000.0	R	1
ROF5	SEEG	µV	0.0	500.0	1000.0	R	1
ROF6	SEEG	µV	0.0	500.0	1000.0	R	1
ROF7	SEEG	µV	0.0	500.0	1000.0	R	1
ROF8	SEEG	µV	0.0	500.0	1000.0	R	1
RPT1	SEEG	µV	0.0	500.0	1000.0	R	1
RPT2	SEEG	µV	0.0	500.0	1000.0	R	1
RPT3	SEEG	µV	0.0	500.0	1000.0	R	1
RPT4	SEEG	µV	0.0	500.0	1000.0	R	1
RPT5	SEEG	µV	0.0	500.0	1000.0	R	1
RPT6	SEEG	µV	0.0	500.0	1000.0	R	1
RPT7	SEEG	µV	0.0	500.0	1000.0	R	1
RPT8	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG1	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG2	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG3	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG4	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG5	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG6	SEEG	µV	0.0	500.0	1000.0	R	1
RSMG7	SEEG	µV	0.0	500.0	1000.0	R	1
RSTG1	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG2	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG3	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG4	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG5	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG6	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG7	SEEG	µV	0.0	500.0	1000.0	R	0
