name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	0
RA1	SEEG	µV	0.0	500.0	1000.0	R	1
RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA3	SEEG	µV	0.0	500.0	1000.0	R	1
REC1	SEEG	µV	0.0	500.0	1000.0	R	1
REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
LPHG1-LPHG2	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG2-LPHG3	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG3-LPHG4	SEEG	µV	0.0	500.0	1000.0	L	0
RA1-RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA2-RA3	SEEG	µV	0.0	500.0	1000.0	R	1
RA3-RA4	SEEG	µV	0.0	500.0	1000.0	R	1
REC1-REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC2-REC3	SEEG	µV	0.0	500.0	1000.0	R	1
REC3-REC4	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1-RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2-RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3-RMH4	SEEG	µV	0.0	500.0	1000.0	R	1
