name	x	y	z	size
LPHG1	-29.60518526	-41.30941887	-14.65862996	n/a
LPHG2	-32.58486165	-41.72330034	-14.85334589	n/a
LPHG3	-38.40788451	-41.6974418	-15.27690908	n/a
RA1	22.55799421	-3.172659632	-28.38393724	n/a
RA2	25.51697692	-3.1657213	-28.02657858	n/a
RA3	31.3600764	-2.727679342	-27.80299293	n/a
REC1	30.13721245	-16.92112964	-33.03460766	n/a
REC2	33.39845891	-16.91954236	-33.10967357	n/a
REC3	39.15878252	-16.8187721	-32.69937408	n/a
RMH1	32.46592555	-26.99262814	-11.89030197	n/a
RMH2	37.92021732	-26.42605256	-11.78283935	n/a
RMH3	42.99619366	-25.87682745	-11.36163008	n/a
