name	x	y	z	size
LOF7	-43.5	54.0	-20.5	n/a
LOF6	-38.0	54.0	-20.5	n/a
LOF5	-32.5	53.5	-20.0	n/a
LOF4	-27.0	53.5	-19.5	n/a
LOF3	-21.75	53.25	-19.25	n/a
LOF2	-16.0	53.5	-19.0	n/a
LOF1	-13.0	53.3333	-18.667	n/a
LA7	-53.06	14.12	-35.59	n/a
LA6	-48.0	14.0	-35.5	n/a
LA5	-42.667	13.667	-35.0	n/a
LA4	-37.0	13.667	-34.667	n/a
LA3	-32.0	13.5	-34.5	n/a
LA2	-26.0	13.5	-34.0	n/a
LA1	-23.0	13.5	-33.5	n/a
LAH7	-60.0	-2.75	-29.42	n/a
LAH6	-54.8	-2.6	-29.4	n/a
LAH5	-49.0	-2.667	-29.333	n/a
LAH4	-43.8	-3.0	-28.8	n/a
LAH3	-38.333	-3.0	-28.667	n/a
LAH2	-32.75	-3.25	-28.25	n/a
LAH1	-30.0	-3.667	-27.667	n/a
LEC8	-62.25	-15.25	-24.75	n/a
LEC7	-57.0	-15.5	-24.5	n/a
LEC6	-51.0	-15.333	-24.667	n/a
LEC5	-46.0	-15.333	-24.333	n/a
LEC4	-40.0	-15.0	-24.5	n/a
LEC3	-35.0	-15.0	-24.5	n/a
LEC2	-29.333	-15.0	-23.667	n/a
LEC1	-26.0	-15.0	-23.5	n/a
LPHG8	-59.0	-22.333	-22.333	n/a
LPHG7	-54.0	-22.667	-21.667	n/a
LPHG6	-48.0	-22.667	-21.667	n/a
LPHG5	-43.0	-22.5	-21.5	n/a
LPHG4	-37.2	-22.6	-21.4	n/a
LPHG3	-31.75	-22.75	-20.75	n/a
LPHG2	-26.25	-22.75	-20.75	n/a
LPHG1	-23.4	-22.8	-20.6	n/a
ROF8	45.25	50.75	-13.25	n/a
ROF7	40.0	50.5	-13.0	n/a
ROF6	34.0	50.5	-13.0	n/a
ROF5	29.0	50.5	-13.0	n/a
ROF4	23.4	50.4	-13.2	n/a
ROF3	18.0	50.5	-13.5	n/a
ROF2	12.667	50.0	-13.667	n/a
ROF1	9.5	50.5	-14.0	n/a
RA8	55.25	10.25	-23.25	n/a
RA7	50.0	10.5	-23.5	n/a
RA6	44.3333	10.333	-24.0	n/a
RA5	39.0	10.5	-24.0	n/a
RA4	33.2	10.4	-24.4	n/a
RA3	28.0	10.5	-24.5	n/a
RA2	22.0	10.5	-25.0	n/a
RA1	19.0	10.5	-25.0	n/a
RMH7	61.8	-6.2	-19.0	n/a
RMH6	56.3333	-6.0	-19.333	n/a
RMH5	51.0	-6.333	-19.667	n/a
RMH4	45.5	-6.25	-19.75	n/a
RMH3	39.75	-6.25	-19.75	n/a
RMH2	34.25	-6.25	-20.25	n/a
RMH1	31.25	-6.25	-20.25	n/a
REC8	58.75	-13.25	-19.5	n/a
REC7	53.2	-13.4	-19.4	n/a
REC6	47.5	-13.333	-19.5	n/a
REC5	42.0	-13.5	-19.5	n/a
REC4	36.6667	-13.5	-19.667	n/a
REC3	31.0	-13.667	-19.667	n/a
REC2	25.75	-13.75	-19.75	n/a
REC1	22.75	-14.0	-20.0	n/a
RPHG8	51.8	-21.6	-14.6	n/a
RPHG7	46.0	-21.5	-14.5	n/a
RPHG6	40.75	-21.25	-14.75	n/a
RPHG5	35.25	-20.75	-15.25	n/a
RPHG4	30.0	-20.5	-15.5	n/a
RPHG3	24.0	-20.5	-15.5	n/a
RPHG2	18.8	-20.0	-15.8	n/a
RPHG1	15.667	-20.0	-16.333	n/a
