name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LH1	SEEG	µV	0.0	500.0	1000.0	L	1
LH2	SEEG	µV	0.0	500.0	1000.0	L	1
RH1	SEEG	µV	0.0	500.0	1000.0	R	0
RH3	SEEG	µV	0.0	500.0	1000.0	R	0
LA1-LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA2-LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LA3-LA4	SEEG	µV	0.0	500.0	1000.0	L	1
LH1-LH2	SEEG	µV	0.0	500.0	1000.0	L	1
LH2-LH4	SEEG	µV	0.0	500.0	1000.0	L	1
RH1-RH3	SEEG	µV	0.0	500.0	1000.0	R	0
RH3-RH4	SEEG	µV	0.0	500.0	1000.0	R	0
