name	x	y	z	size
LA1	-26.21503535	-5.808959958	-21.63902765	n/a
LA2	-26.63496749	-3.94125807	-18.24507227	n/a
LA3	-27.12726095	-2.483081041	-14.35402206	n/a
LEC1	-38.9624196	-32.47316846	-24.05446176	n/a
LEC2	-42.76084018	-32.85656167	-23.97374579	n/a
LEC3	-46.14425527	-32.81927306	-23.8443471	n/a
LPHG1	-31.54507763	-45.62428969	-11.5501371	n/a
LPHG2	-34.93757313	-45.81137713	-10.42722141	n/a
LPHG3	-40.44428419	-45.97536126	-9.556811404	n/a
LH1	-27.35667971	-18.37264226	-28.52500413	n/a
LH2	-29.54558209	-20.10438636	-26.6636825	n/a
LH3	-31.27573024	-21.9003019	-24.88265302	n/a
RH2	32.73571038	-16.44386534	-23.07812025	n/a
RH3	38.37484788	-15.92367066	-24.62769541	n/a
