name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LA4	SEEG	µV	0.0	500.0	1000.0	L	1
LA5	SEEG	µV	0.0	500.0	1000.0	L	1
LA6	SEEG	µV	0.0	500.0	1000.0	L	1
LA7	SEEG	µV	0.0	500.0	1000.0	L	1
LAH1	SEEG	µV	0.0	500.0	1000.0	L	1
LAH2	SEEG	µV	0.0	500.0	1000.0	L	1
LAH3	SEEG	µV	0.0	500.0	1000.0	L	1
LAH4	SEEG	µV	0.0	500.0	1000.0	L	1
LAH5	SEEG	µV	0.0	500.0	1000.0	L	1
LAH6	SEEG	µV	0.0	500.0	1000.0	L	1
LAH7	SEEG	µV	0.0	500.0	1000.0	L	1
LAH8	SEEG	µV	0.0	500.0	1000.0	L	1
LEC1	SEEG	µV	0.0	500.0	1000.0	L	1
LEC2	SEEG	µV	0.0	500.0	1000.0	L	1
LEC3	SEEG	µV	0.0	500.0	1000.0	L	1
LEC4	SEEG	µV	0.0	500.0	1000.0	L	1
LEC5	SEEG	µV	0.0	500.0	1000.0	L	1
LEC7	SEEG	µV	0.0	500.0	1000.0	L	1
LEC8	SEEG	µV	0.0	500.0	1000.0	L	1
LOF1	SEEG	µV	0.0	500.0	1000.0	L	0
LOF2	SEEG	µV	0.0	500.0	1000.0	L	0
LOF3	SEEG	µV	0.0	500.0	1000.0	L	0
LOF4	SEEG	µV	0.0	500.0	1000.0	L	0
LOF5	SEEG	µV	0.0	500.0	1000.0	L	0
LOF6	SEEG	µV	0.0	500.0	1000.0	L	0
LOF7	SEEG	µV	0.0	500.0	1000.0	L	0
LOF8	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG4	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG5	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG6	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG7	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG8	SEEG	µV	0.0	500.0	1000.0	L	1
RA1	SEEG	µV	0.0	500.0	1000.0	R	1
RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA4	SEEG	µV	0.0	500.0	1000.0	R	1
RA5	SEEG	µV	0.0	500.0	1000.0	R	1
RA6	SEEG	µV	0.0	500.0	1000.0	R	1
RA7	SEEG	µV	0.0	500.0	1000.0	R	1
REC1	SEEG	µV	0.0	500.0	1000.0	R	1
REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC3	SEEG	µV	0.0	500.0	1000.0	R	1
REC4	SEEG	µV	0.0	500.0	1000.0	R	1
REC5	SEEG	µV	0.0	500.0	1000.0	R	1
REC6	SEEG	µV	0.0	500.0	1000.0	R	1
REC7	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH4	SEEG	µV	0.0	500.0	1000.0	R	1
RMH5	SEEG	µV	0.0	500.0	1000.0	R	1
RMH6	SEEG	µV	0.0	500.0	1000.0	R	1
RMH7	SEEG	µV	0.0	500.0	1000.0	R	1
RMH8	SEEG	µV	0.0	500.0	1000.0	R	1
ROF1	SEEG	µV	0.0	500.0	1000.0	R	0
ROF2	SEEG	µV	0.0	500.0	1000.0	R	0
ROF3	SEEG	µV	0.0	500.0	1000.0	R	0
ROF4	SEEG	µV	0.0	500.0	1000.0	R	0
ROF5	SEEG	µV	0.0	500.0	1000.0	R	0
ROF6	SEEG	µV	0.0	500.0	1000.0	R	0
ROF7	SEEG	µV	0.0	500.0	1000.0	R	0
ROF8	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG1	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG2	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG3	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG4	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG5	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG6	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG7	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG8	SEEG	µV	0.0	500.0	1000.0	R	1
