name	x	y	z	size
LOF8	-46.0	40.3333	-4.333	n/a
LOF7	-41.0	40.3333	-4.333	n/a
LOF6	-35.0	39.5	-4.0	n/a
LOF5	-30.0	39.6667	-3.667	n/a
LOF4	-24.25	39.75	-3.75	n/a
LOF3	-19.0	39.5	-3.5	n/a
LOF2	-13.0	39.5	-3.5	n/a
LOF1	-10.0	39.5	-3.5	n/a
LA7	-56.0	10.5	-22.5	n/a
LA6	-51.0	10.5	-22.5	n/a
LA5	-45.0	10.333	-22.667	n/a
LA4	-40.0	9.5	-22.5	n/a
LA3	-34.0	9.5	-22.5	n/a
LA2	-29.0	9.333	-22.333	n/a
LA1	-25.8	9.0	-21.8	n/a
LAH8	-61.429	-2.429	-22.429	n/a
LAH7	-56.0	-2.5	-22.5	n/a
LAH6	-50.333	-2.667	-22.0	n/a
LAH5	-45.0	-2.667	-21.667	n/a
LAH4	-39.0	-3.0	-21.5	n/a
LAH3	-34.0	-3.333	-21.667	n/a
LAH2	-28.4	-3.4	-21.8	n/a
LAH1	-25.5	-3.333	-21.667	n/a
LEC8	-58.25	-15.75	-19.25	n/a
LEC7	-53.0	-15.667	-18.667	n/a
LEC5	-42.0	-16.333	-18.333	n/a
LEC4	-36.5	-16.0	-18.0	n/a
LEC3	-31.0	-16.5	-17.5	n/a
LEC2	-25.75	-16.25	-17.25	n/a
LEC1	-22.75	-16.0	-17.0	n/a
LPHG8	-52.4	-24.4	-14.2	n/a
LPHG7	-47.0	-24.5	-14.0	n/a
LPHG6	-41.25	-24.75	-13.75	n/a
LPHG5	-36.0	-24.5	-13.5	n/a
LPHG4	-30.0	-25.0	-13.5	n/a
LPHG3	-25.0	-25.0	-13.0	n/a
LPHG2	-19.2	-25.0	-12.8	n/a
LPHG1	-16.2	-25.2	-12.8	n/a
ROF8	44.0	50.0	0.25	n/a
ROF7	39.0	49.6667	0.333	n/a
ROF6	33.0	49.6667	0.333	n/a
ROF5	27.75	49.75	0.25	n/a
ROF4	22.2	49.8	0.0	n/a
ROF3	17.0	49.6667	0.333	n/a
ROF2	11.0	50.0	-0.25	n/a
ROF1	8.0	50.0	-0.25	n/a
RA7	64.6699	15.752	-21.131	n/a
RA6	56.0	16.333	-20.667	n/a
RA5	50.25	16.25	-20.25	n/a
RA4	45.0	15.667	-20.333	n/a
RA2	34.0	15.5	-20.5	n/a
RA1	31.0	15.5	-20.5	n/a
REC7	60.0	-0.667	-23.333	n/a
REC6	54.3333	-0.667	-23.0	n/a
REC5	49.0	-0.5	-22.5	n/a
REC4	43.3333	-0.5	-22.333	n/a
REC3	38.0	-0.5	-22.5	n/a
REC2	32.4	-0.4	-21.8	n/a
REC1	29.3333	-0.667	-21.5	n/a
RMH8	74.9293	-10.136	-16.106	n/a
RMH7	62.0	-10.0	-15.75	n/a
RMH6	56.5	-9.75	-15.75	n/a
RMH5	51.0	-10.0	-15.75	n/a
RMH4	45.4	-9.8	-15.6	n/a
RMH3	40.0	-9.8	-15.6	n/a
RMH2	34.3333	-9.5	-15.333	n/a
RMH1	31.3333	-9.5	-15.333	n/a
RPHG8	58.3333	-22.0	-16.667	n/a
RPHG7	53.0	-21.5	-16.5	n/a
RPHG6	47.5	-21.333	-16.667	n/a
RPHG5	42.0	-21.0	-16.75	n/a
RPHG4	36.5	-20.5	-17.0	n/a
RPHG3	31.0	-20.5	-17.0	n/a
RPHG2	25.25	-19.75	-17.25	n/a
RPHG1	22.2	-19.6	-17.4	n/a
