name	x	y	z	size
LOF8	-47.75	57.0	-6.0	n/a
LOF7	-42.5	56.5	-6.0	n/a
LOF6	-37.0	56.5	-6.0	n/a
LOF5	-31.5	56.5	-6.0	n/a
LOF4	-26.0	56.5	-6.0	n/a
LOF3	-21.0	56.5	-6.0	n/a
LOF2	-15.0	56.3333	-5.667	n/a
LOF1	-12.0	56.5	-5.5	n/a
LSTG4	-60.0	1.5	-10.5	n/a
LSTG3	-55.0	1.5	-10.5	n/a
LSTG2	-49.0	1.5	-10.333	n/a
LSTG1	-46.143	1.429	-10.286	n/a
LA7	-54.0	3.5	-22.0	n/a
LA6	-48.6	3.8	-22.0	n/a
LA5	-43.0	3.8	-21.6	n/a
LA4	-38.0	4.0	-21.25	n/a
LA3	-32.5	4.5	-21.0	n/a
LA2	-27.0	4.5	-20.333	n/a
LA1	-23.75	5.0	-20.0	n/a
LEC7	-54.6	2.93	-34.6	n/a
LEC6	-49.4	3.2	-34.0	n/a
LEC5	-44.0	4.0	-34.0	n/a
LEC4	-38.5	4.0	-34.0	n/a
LEC3	-33.0	4.0	-34.0	n/a
LEC2	-27.5	4.0	-34.0	n/a
LEC1	-24.556	4.333	-34.444	n/a
LAH7	-58.5	-6.0	-23.0	n/a
LAH6	-53.4	-5.8	-23.0	n/a
LAH5	-47.6	-5.2	-23.0	n/a
LAH4	-42.286	-5.0	-22.714	n/a
LAH3	-37.0	-4.8	-22.4	n/a
LAH2	-31.4	-4.0	-22.4	n/a
LAH1	-28.556	-3.889	-22.333	n/a
LPHG7	-63.75	-27.5	-13.75	n/a
LPHG6	-58.4	-26.8	-14.0	n/a
LPHG5	-53.0	-26.8	-13.4	n/a
LPHG4	-47.5	-26.5	-13.0	n/a
LPHG3	-42.0	-26.2	-12.6	n/a
LPHG2	-36.5	-26.0	-12.0	n/a
LPHG1	-33.6	-26.0	-11.5	n/a
ROF8	44.0	58.2	-9.6	n/a
ROF7	38.0	58.0	-9.5	n/a
ROF6	33.0	57.5	-9.5	n/a
ROF5	27.4	57.6	-9.2	n/a
ROF4	22.0	57.5	-9.5	n/a
ROF3	16.333	57.5	-9.333	n/a
ROF2	11.0	57.2	-9.4	n/a
ROF1	7.714	57.2857	-9.429	n/a
RA8	56.75	9.0	-24.0	n/a
RA7	51.5	8.5	-24.0	n/a
RA6	46.0	8.0	-23.75	n/a
RA5	40.5	7.5	-23.0	n/a
RA4	35.0	7.5	-23.0	n/a
RA3	29.6	7.2	-23.0	n/a
RA2	24.143	7.0	-22.571	n/a
RA1	21.4	7.0	-22.4	n/a
REC7	51.0	8.5	-34.5	n/a
REC6	46.0	8.0	-34.0	n/a
REC5	40.0	8.0	-34.0	n/a
REC4	35.0	7.5	-34.0	n/a
REC3	29.25	7.75	-34.25	n/a
REC2	24.36	7.91	-34.09	n/a
REC1	20.36	7.91	-34.09	n/a
RAH7	58.0	-1.2	-20.6	n/a
RAH6	52.4	-1.4	-20.2	n/a
RAH5	47.0	-1.5	-20.5	n/a
RAH4	41.4	-1.8	-20.0	n/a
RAH3	36.0	-2.0	-20.0	n/a
RAH2	30.4	-2.8	-20.0	n/a
RAH1	27.5	-3.0	-20.0	n/a
