name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LA4	SEEG	µV	0.0	500.0	1000.0	L	1
LA5	SEEG	µV	0.0	500.0	1000.0	L	1
LA6	SEEG	µV	0.0	500.0	1000.0	L	1
LA7	SEEG	µV	0.0	500.0	1000.0	L	1
LAH1	SEEG	µV	0.0	500.0	1000.0	L	1
LAH2	SEEG	µV	0.0	500.0	1000.0	L	1
LAH3	SEEG	µV	0.0	500.0	1000.0	L	1
LAH4	SEEG	µV	0.0	500.0	1000.0	L	1
LAH5	SEEG	µV	0.0	500.0	1000.0	L	1
LAH6	SEEG	µV	0.0	500.0	1000.0	L	1
LAH7	SEEG	µV	0.0	500.0	1000.0	L	1
LEC1	SEEG	µV	0.0	500.0	1000.0	L	1
LEC2	SEEG	µV	0.0	500.0	1000.0	L	1
LEC3	SEEG	µV	0.0	500.0	1000.0	L	1
LEC4	SEEG	µV	0.0	500.0	1000.0	L	1
LEC5	SEEG	µV	0.0	500.0	1000.0	L	1
LEC6	SEEG	µV	0.0	500.0	1000.0	L	1
LEC7	SEEG	µV	0.0	500.0	1000.0	L	1
LOF1	SEEG	µV	0.0	500.0	1000.0	L	0
LOF2	SEEG	µV	0.0	500.0	1000.0	L	0
LOF3	SEEG	µV	0.0	500.0	1000.0	L	0
LOF4	SEEG	µV	0.0	500.0	1000.0	L	0
LOF5	SEEG	µV	0.0	500.0	1000.0	L	0
LOF6	SEEG	µV	0.0	500.0	1000.0	L	0
LOF7	SEEG	µV	0.0	500.0	1000.0	L	0
LOF8	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG4	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG5	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG6	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG7	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG1	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG2	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG3	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG4	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG5	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG6	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG7	SEEG	µV	0.0	500.0	1000.0	L	1
RA1	SEEG	µV	0.0	500.0	1000.0	R	0
RA2	SEEG	µV	0.0	500.0	1000.0	R	0
RA3	SEEG	µV	0.0	500.0	1000.0	R	0
RA4	SEEG	µV	0.0	500.0	1000.0	R	0
RA5	SEEG	µV	0.0	500.0	1000.0	R	0
RA6	SEEG	µV	0.0	500.0	1000.0	R	0
RA7	SEEG	µV	0.0	500.0	1000.0	R	0
RA8	SEEG	µV	0.0	500.0	1000.0	R	0
RAH1	SEEG	µV	0.0	500.0	1000.0	R	0
RAH2	SEEG	µV	0.0	500.0	1000.0	R	0
RAH3	SEEG	µV	0.0	500.0	1000.0	R	0
RAH4	SEEG	µV	0.0	500.0	1000.0	R	0
RAH5	SEEG	µV	0.0	500.0	1000.0	R	0
RAH6	SEEG	µV	0.0	500.0	1000.0	R	0
RAH7	SEEG	µV	0.0	500.0	1000.0	R	0
REC1	SEEG	µV	0.0	500.0	1000.0	R	0
REC2	SEEG	µV	0.0	500.0	1000.0	R	0
REC3	SEEG	µV	0.0	500.0	1000.0	R	0
REC4	SEEG	µV	0.0	500.0	1000.0	R	0
REC5	SEEG	µV	0.0	500.0	1000.0	R	0
REC6	SEEG	µV	0.0	500.0	1000.0	R	0
REC7	SEEG	µV	0.0	500.0	1000.0	R	0
ROF1	SEEG	µV	0.0	500.0	1000.0	R	0
ROF2	SEEG	µV	0.0	500.0	1000.0	R	0
ROF3	SEEG	µV	0.0	500.0	1000.0	R	0
ROF4	SEEG	µV	0.0	500.0	1000.0	R	0
ROF5	SEEG	µV	0.0	500.0	1000.0	R	0
ROF6	SEEG	µV	0.0	500.0	1000.0	R	0
ROF7	SEEG	µV	0.0	500.0	1000.0	R	0
ROF8	SEEG	µV	0.0	500.0	1000.0	R	0
