name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	0
LA1	SEEG	µV	0.0	500.0	1000.0	L	0
LA2	SEEG	µV	0.0	500.0	1000.0	L	0
LA3	SEEG	µV	0.0	500.0	1000.0	L	0
LAH1	SEEG	µV	0.0	500.0	1000.0	L	0
LAH2	SEEG	µV	0.0	500.0	1000.0	L	0
LAH3	SEEG	µV	0.0	500.0	1000.0	L	0
RAH1	SEEG	µV	0.0	500.0	1000.0	R	0
RAH2	SEEG	µV	0.0	500.0	1000.0	R	0
RAH3	SEEG	µV	0.0	500.0	1000.0	R	0
LPHG1-LPHG2	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG2-LPHG3	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG3-LPHG4	SEEG	µV	0.0	500.0	1000.0	L	0
LA1-LA2	SEEG	µV	0.0	500.0	1000.0	L	0
LA2-LA3	SEEG	µV	0.0	500.0	1000.0	L	0
LA3-LA4	SEEG	µV	0.0	500.0	1000.0	L	0
LAH1-LAH2	SEEG	µV	0.0	500.0	1000.0	L	0
LAH2-LAH3	SEEG	µV	0.0	500.0	1000.0	L	0
LAH3-LAH4	SEEG	µV	0.0	500.0	1000.0	L	0
RAH1-RAH2	SEEG	µV	0.0	500.0	1000.0	R	0
RAH2-RAH3	SEEG	µV	0.0	500.0	1000.0	R	0
RAH3-RAH4	SEEG	µV	0.0	500.0	1000.0	R	0
