name	x	y	z	size
LPHG1	-20.39036498	-44.5596915	-6.968404394	n/a
LPHG2	-23.70472246	-44.6114279	-6.779538511	n/a
LPHG3	-29.15901632	-45.1348462	-6.39326394	n/a
LA1	-24.95942387	-5.18454735	-24.47689854	n/a
LA2	-28.3000609	-5.358202297	-24.31905198	n/a
LA3	-33.80987061	-6.087068814	-24.00206279	n/a
LAH1	-30.54875149	-22.56658836	-19.94401566	n/a
LAH2	-33.87814809	-23.11089936	-19.27978252	n/a
LAH3	-39.30569637	-24.08448514	-17.63129295	n/a
RAH1	31.34929111	-21.33724205	-20.70286552	n/a
RAH2	34.3029815	-21.06068199	-20.63569079	n/a
RAH3	40.23968856	-20.35150126	-19.62162931	n/a
