name	x	y	z	size
RA2	30.70030118	-3.952702788	-26.4694427	n/a
RA3	36.11776484	-3.29474717	-26.44888093	n/a
RAH1	36.01213819	-12.80371405	-22.75538495	n/a
RAH2	43.20231675	-12.53055541	-23.9525962	n/a
RAH3	48.66291365	-12.5202577	-25.37560546	n/a
RMH1	33.62138585	-29.93414314	-12.72249683	n/a
RMH2	36.57042969	-29.93545729	-13.06773493	n/a
RMH3	42.44730167	-29.5189494	-13.80680091	n/a
RPHG1	19.22635417	-57.80825167	0.29655844	n/a
RPHG2	24.61143504	-57.77881256	-1.214304128	n/a
RPHG3	29.57621761	-57.19937806	-1.61768022	n/a
