name	x	y	z	size
LOF8	-46.6	43.2	11.0	n/a
LOF7	-41.4	43.2	11.0	n/a
LOF6	-35.75	43.0	11.0	n/a
LOF5	-30.333	42.3333	11.0	n/a
LOF4	-24.75	42.0	11.0	n/a
LOF3	-19.5	41.5	11.0	n/a
LOF2	-14.0	41.0	11.0	n/a
LOF1	-11.0	40.25	11.25	n/a
LOPAI6	-60.0	16.0	22.0	n/a
LOPAI5	-53.6	17.2	22.0	n/a
LOPAI4	-48.0	17.0	22.25	n/a
LOPAI3	-42.5	16.5	22.0	n/a
LOPAI2	-37.0	16.25	22.25	n/a
LOPAI1	-34.0	16.2	22.4	n/a
LTPPI6	-66.222	-26.556	20.333	n/a
LTPPI5	-61.0	-26.8	20.4	n/a
LTPPI4	-55.0	-27.0	20.5	n/a
LTPPI3	-50.0	-27.5	20.5	n/a
LTPPI2	-44.5	-28.0	21.0	n/a
LSTG5	-65.0	-14.5	7.5	n/a
LSTG4	-59.75	-14.75	8.0	n/a
LSTG3	-54.0	-15.25	7.75	n/a
LSTG2	-48.75	-15.75	8.0	n/a
LSTG1	-45.667	-16.0	7.833	n/a
LA7	-53.5	11.667	-9.667	n/a
LA6	-48.0	11.667	-9.667	n/a
LA5	-43.0	11.667	-9.667	n/a
LA4	-37.0	11.2	-9.6	n/a
LA3	-32.0	11.0	-9.75	n/a
LA2	-26.0	11.0	-9.5	n/a
LA1	-23.0	10.5	-9.5	n/a
LEC7	-56.667	-3.333	-15.0	n/a
LEC6	-51.0	-3.2	-14.4	n/a
LEC5	-46.0	-3.0	-14.0	n/a
LEC4	-40.0	-3.0	-14.0	n/a
LEC3	-35.0	-3.8	-13.6	n/a
LEC2	-29.0	-3.8	-13.6	n/a
LMH7	-62.0	-11.8	-9.6	n/a
LMH6	-56.4	-11.8	-9.0	n/a
LMH5	-50.75	-12.25	-9.0	n/a
LMH4	-45.286	-12.286	-8.429	n/a
LMH3	-40.0	-13.0	-8.0	n/a
LMH2	-34.286	-13.0	-7.714	n/a
LMH1	-31.571	-13.143	-7.571	n/a
LPHG7	-56.0	-26.8	-10.6	n/a
LPHG6	-50.333	-26.833	-10.333	n/a
LPHG5	-45.0	-27.0	-10.25	n/a
LPHG4	-39.4	-26.8	-10.0	n/a
LPHG3	-34.0	-27.0	-9.75	n/a
LPHG2	-28.5	-27.0	-9.5	n/a
LPHG1	-25.444	-27.111	-9.444	n/a
RSTG4	56.0	-17.2	7.6	n/a
RSTG3	50.5	-17.2	7.6	n/a
RSTG2	45.0	-17.2	7.6	n/a
RSTG1	41.8571	-17.0	7.429	n/a
RAH7	54.4	-2.2	-11.0	n/a
RAH6	48.8333	-1.833	-10.667	n/a
RAH5	43.25	-1.5	-10.25	n/a
RAH4	38.0	-1.0	-10.0	n/a
RAH3	32.5	-0.5	-10.0	n/a
RAH2	27.0	-0.2	-9.4	n/a
RAH1	24.167	0.167	-9.0	n/a
RPHG7	46.5	-31.5	-6.0	n/a
RPHG6	41.0	-32.0	-6.0	n/a
RPHG5	35.5	-31.5	-6.0	n/a
RPHG4	30.0	-31.2	-5.4	n/a
RPHG3	24.75	-31.0	-5.0	n/a
RPHG2	19.0	-30.5	-5.0	n/a
RPHG1	16.0	-30.5	-5.0	n/a
