name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LA4	SEEG	µV	0.0	500.0	1000.0	L	1
LA5	SEEG	µV	0.0	500.0	1000.0	L	1
LA6	SEEG	µV	0.0	500.0	1000.0	L	1
LA7	SEEG	µV	0.0	500.0	1000.0	L	1
LEC2	SEEG	µV	0.0	500.0	1000.0	L	1
LEC3	SEEG	µV	0.0	500.0	1000.0	L	1
LEC4	SEEG	µV	0.0	500.0	1000.0	L	1
LEC5	SEEG	µV	0.0	500.0	1000.0	L	1
LEC6	SEEG	µV	0.0	500.0	1000.0	L	1
LEC7	SEEG	µV	0.0	500.0	1000.0	L	1
LMH1	SEEG	µV	0.0	500.0	1000.0	L	1
LMH2	SEEG	µV	0.0	500.0	1000.0	L	1
LMH3	SEEG	µV	0.0	500.0	1000.0	L	1
LMH4	SEEG	µV	0.0	500.0	1000.0	L	1
LMH5	SEEG	µV	0.0	500.0	1000.0	L	1
LMH6	SEEG	µV	0.0	500.0	1000.0	L	1
LMH7	SEEG	µV	0.0	500.0	1000.0	L	1
LOF1	SEEG	µV	0.0	500.0	1000.0	L	0
LOF2	SEEG	µV	0.0	500.0	1000.0	L	0
LOF3	SEEG	µV	0.0	500.0	1000.0	L	0
LOF4	SEEG	µV	0.0	500.0	1000.0	L	0
LOF5	SEEG	µV	0.0	500.0	1000.0	L	0
LOF6	SEEG	µV	0.0	500.0	1000.0	L	0
LOF7	SEEG	µV	0.0	500.0	1000.0	L	0
LOF8	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI1	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI2	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI3	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI4	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI5	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI6	SEEG	µV	0.0	500.0	1000.0	L	0
LOPAI7	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG4	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG5	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG6	SEEG	µV	0.0	500.0	1000.0	L	1
LPHG7	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG1	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG2	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG3	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG4	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG5	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG6	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG7	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI2	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI3	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI4	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI5	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI6	SEEG	µV	0.0	500.0	1000.0	L	1
LTPPI7	SEEG	µV	0.0	500.0	1000.0	L	1
RAH1	SEEG	µV	0.0	500.0	1000.0	R	0
RAH2	SEEG	µV	0.0	500.0	1000.0	R	0
RAH3	SEEG	µV	0.0	500.0	1000.0	R	0
RAH4	SEEG	µV	0.0	500.0	1000.0	R	0
RAH5	SEEG	µV	0.0	500.0	1000.0	R	0
RAH6	SEEG	µV	0.0	500.0	1000.0	R	0
RAH7	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG1	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG2	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG3	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG4	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG5	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG6	SEEG	µV	0.0	500.0	1000.0	R	0
RPHG7	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG1	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG2	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG3	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG4	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG5	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG6	SEEG	µV	0.0	500.0	1000.0	R	0
RSTG7	SEEG	µV	0.0	500.0	1000.0	R	0
