name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
RA1	SEEG	µV	0.0	500.0	1000.0	R	1
RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA3	SEEG	µV	0.0	500.0	1000.0	R	1
REC1	SEEG	µV	0.0	500.0	1000.0	R	1
REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH1	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2	SEEG	µV	0.0	500.0	1000.0	R	1
RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LEC1	SEEG	µV	0.0	500.0	1000.0	L	1
LEC2	SEEG	µV	0.0	500.0	1000.0	L	1
LEC3	SEEG	µV	0.0	500.0	1000.0	L	1
LAH1	SEEG	µV	0.0	500.0	1000.0	L	1
LAH2	SEEG	µV	0.0	500.0	1000.0	L	1
LAH3	SEEG	µV	0.0	500.0	1000.0	L	1
RA1-RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA2-RA3	SEEG	µV	0.0	500.0	1000.0	R	1
REC1-REC2	SEEG	µV	0.0	500.0	1000.0	R	1
REC2-REC3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH1-RAH2	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2-RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
LA1-LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA2-LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LEC1-LEC2	SEEG	µV	0.0	500.0	1000.0	L	1
LEC2-LEC3	SEEG	µV	0.0	500.0	1000.0	L	1
LAH1-LAH2	SEEG	µV	0.0	500.0	1000.0	L	1
LAH2-LAH3	SEEG	µV	0.0	500.0	1000.0	L	1
