name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	1
LA2	SEEG	µV	0.0	500.0	1000.0	L	1
LA3	SEEG	µV	0.0	500.0	1000.0	L	1
LA4	SEEG	µV	0.0	500.0	1000.0	L	1
LA5	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG1	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG2	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG3	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG4	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG5	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG6	SEEG	µV	0.0	500.0	1000.0	L	1
LFSG7	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG1	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG2	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG3	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG4	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG5	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG6	SEEG	µV	0.0	500.0	1000.0	L	1
LHSG7	SEEG	µV	0.0	500.0	1000.0	L	1
LOF1	SEEG	µV	0.0	500.0	1000.0	L	0
LOF2	SEEG	µV	0.0	500.0	1000.0	L	0
LOF3	SEEG	µV	0.0	500.0	1000.0	L	0
LOF4	SEEG	µV	0.0	500.0	1000.0	L	0
LOF5	SEEG	µV	0.0	500.0	1000.0	L	0
LOF6	SEEG	µV	0.0	500.0	1000.0	L	0
LOF7	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR1	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR2	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR3	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR4	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR5	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR6	SEEG	µV	0.0	500.0	1000.0	L	0
LOPR7	SEEG	µV	0.0	500.0	1000.0	L	0
LPRC1	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC2	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC3	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC4	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC5	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC6	SEEG	µV	0.0	500.0	1000.0	L	1
LPRC7	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG1	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG2	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG3	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG4	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG5	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG6	SEEG	µV	0.0	500.0	1000.0	L	1
LSTG7	SEEG	µV	0.0	500.0	1000.0	L	1
RA1	SEEG	µV	0.0	500.0	1000.0	R	0
RA2	SEEG	µV	0.0	500.0	1000.0	R	0
RA3	SEEG	µV	0.0	500.0	1000.0	R	0
RA4	SEEG	µV	0.0	500.0	1000.0	R	0
RA5	SEEG	µV	0.0	500.0	1000.0	R	0
RA6	SEEG	µV	0.0	500.0	1000.0	R	0
RA7	SEEG	µV	0.0	500.0	1000.0	R	0
RA8	SEEG	µV	0.0	500.0	1000.0	R	0
RAH1	SEEG	µV	0.0	500.0	1000.0	R	0
RAH2	SEEG	µV	0.0	500.0	1000.0	R	0
RAH3	SEEG	µV	0.0	500.0	1000.0	R	0
RAH4	SEEG	µV	0.0	500.0	1000.0	R	0
RAH5	SEEG	µV	0.0	500.0	1000.0	R	0
RAH6	SEEG	µV	0.0	500.0	1000.0	R	0
RAH7	SEEG	µV	0.0	500.0	1000.0	R	0
RAH8	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG1	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG2	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG3	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG4	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG5	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG6	SEEG	µV	0.0	500.0	1000.0	R	0
RHSG7	SEEG	µV	0.0	500.0	1000.0	R	0
