name	x	y	z	size
RA1	21.56103216	-4.805309064	-21.98658907	n/a
RA3	30.17700896	-4.116172392	-22.2257615	n/a
RMH1	31.5131779	-21.66659236	-16.748402	n/a
RMH2	34.75411614	-21.56600258	-16.68735699	n/a
RMH3	40.43770509	-20.97097791	-16.6174227	n/a
LA1	-26.85306678	-7.313035066	-21.72866703	n/a
LA2	-30.13486726	-7.445486954	-21.98659386	n/a
LA3	-35.88424252	-7.250469055	-22.17540103	n/a
LMH1	-31.12352729	-21.66113153	-18.18178077	n/a
LMH2	-33.97081845	-21.71184758	-17.88143689	n/a
LMH3	-39.7477787	-21.78202272	-17.26108862	n/a
