name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LA1	SEEG	µV	0.0	500.0	1000.0	L	0
LA2	SEEG	µV	0.0	500.0	1000.0	L	0
LA3	SEEG	µV	0.0	500.0	1000.0	L	0
LMH1	SEEG	µV	0.0	500.0	1000.0	L	0
LMH2	SEEG	µV	0.0	500.0	1000.0	L	0
LMH3	SEEG	µV	0.0	500.0	1000.0	L	0
RA1	SEEG	µV	0.0	500.0	1000.0	R	1
RA3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
LA1-LA2	SEEG	µV	0.0	500.0	1000.0	L	0
LA2-LA3	SEEG	µV	0.0	500.0	1000.0	L	0
LA3-LA4	SEEG	µV	0.0	500.0	1000.0	L	0
LMH1-LMH2	SEEG	µV	0.0	500.0	1000.0	L	0
LMH2-LMH3	SEEG	µV	0.0	500.0	1000.0	L	0
LMH3-LMH4	SEEG	µV	0.0	500.0	1000.0	L	0
RA1-RA3	SEEG	µV	0.0	500.0	1000.0	R	1
RA3-RA4	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1-RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2-RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3-RMH4	SEEG	µV	0.0	500.0	1000.0	R	1
