name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
LAH2	SEEG	µV	0.0	500.0	1000.0	L	0
LAH3	SEEG	µV	0.0	500.0	1000.0	L	0
LAH4	SEEG	µV	0.0	500.0	1000.0	L	0
LAH5	SEEG	µV	0.0	500.0	1000.0	L	0
LAH6	SEEG	µV	0.0	500.0	1000.0	L	0
LAH7	SEEG	µV	0.0	500.0	1000.0	L	0
LAH8	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG1	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG2	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG3	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG4	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG5	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG6	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG7	SEEG	µV	0.0	500.0	1000.0	L	0
LPHG8	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG1	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG3	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG4	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG5	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG6	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG7	SEEG	µV	0.0	500.0	1000.0	L	0
LSTG8	SEEG	µV	0.0	500.0	1000.0	L	0
LpSMA1	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA2	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA3	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA4	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA5	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA6	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA7	SEEG	µV	0.0	500.0	1000.0	L	1
LpSMA8	SEEG	µV	0.0	500.0	1000.0	L	1
REC1	SEEG	µV	0.0	500.0	1000.0	R	0
REC2	SEEG	µV	0.0	500.0	1000.0	R	0
REC3	SEEG	µV	0.0	500.0	1000.0	R	0
REC4	SEEG	µV	0.0	500.0	1000.0	R	0
REC5	SEEG	µV	0.0	500.0	1000.0	R	0
REC6	SEEG	µV	0.0	500.0	1000.0	R	0
REC7	SEEG	µV	0.0	500.0	1000.0	R	0
REC8	SEEG	µV	0.0	500.0	1000.0	R	0
RHET1	SEEG	µV	0.0	500.0	1000.0	R	0
RHET2	SEEG	µV	0.0	500.0	1000.0	R	0
RHET3	SEEG	µV	0.0	500.0	1000.0	R	0
RHET4	SEEG	µV	0.0	500.0	1000.0	R	0
RHET5	SEEG	µV	0.0	500.0	1000.0	R	0
RHET6	SEEG	µV	0.0	500.0	1000.0	R	0
RHET7	SEEG	µV	0.0	500.0	1000.0	R	0
RHET8	SEEG	µV	0.0	500.0	1000.0	R	0
ROF1	SEEG	µV	0.0	500.0	1000.0	R	0
ROF2	SEEG	µV	0.0	500.0	1000.0	R	0
ROF3	SEEG	µV	0.0	500.0	1000.0	R	0
ROF4	SEEG	µV	0.0	500.0	1000.0	R	0
ROF6	SEEG	µV	0.0	500.0	1000.0	R	0
ROF7	SEEG	µV	0.0	500.0	1000.0	R	0
