name	x	y	z	size
LAH8	-60.0	5.667	-19.667	n/a
LAH7	-54.4	5.2	-19.6	n/a
LAH6	-49.0	4.667	-19.333	n/a
LAH5	-44.0	4.0	-18.5	n/a
LAH4	-38.0	3.5	-18.0	n/a
LAH3	-33.0	3.333	-17.667	n/a
LAH2	-27.0	2.5	-17.0	n/a
LPHG5	-59.0	21.0	2.5	n/a
LPHG4	-53.5	20.0	3.0	n/a
LPHG3	-48.0	19.0	3.5	n/a
LPHG2	-43.0	18.5	4.0	n/a
LPHG1	-40.0	18.0	4.25	n/a
LpSMA8	-40.0	47.5	27.0	n/a
LpSMA7	-34.333	46.3333	27.0	n/a
LpSMA6	-29.0	45.5	27.0	n/a
LpSMA5	-24.0	44.5	27.0	n/a
LpSMA4	-18.0	43.6667	27.333	n/a
LpSMA3	-13.0	43.3333	27.667	n/a
LpSMA2	-8.0	42.0	28.0	n/a
LpSMA1	-4.667	41.6667	28.0	n/a
ROF7	49.0	58.3333	-12.333	n/a
ROF6	43.5	59.0	-12.0	n/a
ROF4	33.0	60.3333	-12.333	n/a
ROF3	27.333	61.0	-12.333	n/a
ROF2	22.0	62.3333	-12.667	n/a
ROF1	19.0	62.5	-12.5	n/a
RHET8	60.6667	27.0	10.333	n/a
RHET7	56.0	27.333	10.333	n/a
RHET6	51.0	28.0	10.0	n/a
RHET5	46.0	28.5	10.0	n/a
RHET4	41.0	28.5	10.0	n/a
RHET3	36.0	29.5	10.0	n/a
RHET2	31.0	29.5	10.0	n/a
RHET1	26.25	30.25	9.75	n/a
REC8	60.6667	-3.0	-25.667	n/a
REC7	55.0	-2.0	-25.5	n/a
REC6	50.0	-1.5	-25.0	n/a
REC5	44.0	-1.0	-25.5	n/a
REC4	39.0	-0.5	-25.0	n/a
REC3	34.0	0.5	-25.0	n/a
REC2	28.0	0.5	-25.0	n/a
REC1	25.0	1.5	-25.0	n/a
LSTG8	-66.0	-22.5	-10.0	n/a
LSTG7	-60.0	-23.0	-9.5	n/a
LSTG6	-55.0	-23.667	-9.333	n/a
LSTG5	-50.0	-24.5	-9.0	n/a
LSTG4	-44.0	-25.5	-8.5	n/a
LSTG3	-39.0	-26.0	-8.5	n/a
LSTG1	-30.333	-27.0	-7.333	n/a
